文件名,主标题,构图关键词,排版高度,是否乱码,人物状态,主色调,图像风格标签,,,,,,,
账号1_2025.05.03主图,中日干细胞治疗 差别分析,医生讲解 / 桌面对比 / 信息图表,42%,无,专业 / 自信,白橙色,#医疗风,,,,,,,
账号1_2025.05.05主图,干细胞 vs NAD+,医生讲解 / 背景板图 / 分子结构,28%,无,自信 / 专业,蓝白色,#医疗风,,,,,,,
账号1_2025.05.07主图,干细胞抗衰治疗 现场曝光,医生讲解 / 报告展示 / 实验室背景,38%,无,专业 / 集中,灰白蓝,#恢复感,,,,,,,
账号1_2025.05.08主图,干细胞实拍,实验室实测 / 女性科研人员 / 数据图表,20%,无,集中 / 放松,灰米色,#恢复感,,,,,,,
账号1_2025.05.10主图,干细胞实拍,实验室实测 / 女性科研人员 / 数据图表,20%,无,集中 / 放松,灰米色,#恢复感,,,,,,,
账号1_2025.05.13主图,干细胞复查报告 修复率提升92%,医生展示 / 报告解读 / 室内交流,20%,无,放松 / 恢复,暖米色,#恢复感,,,,,,,
账号1_2025.05.15主图,干细胞复查报告 修复率提升92%,医生展示 / 报告解读 / 室内交流,20%,无,放松 / 恢复,暖米色,#恢复感,,,,,,,
账号1_2025.05.16主图,干细胞×NAD+ 联合抗衰方案,医生讲解 / 流程图 / 白底,20%,无,专业 / 自信,白橙蓝,#医疗风,,,,,,,
账号1_2025.05.17主图,干细胞×NAD+ 联合抗衰方案,医生讲解 / 流程图 / 白底,20%,无,专业 / 自信,白橙蓝,#医疗风,,,,,,,
账号1_2025.05.18主图,这组疗效报告让我决定联合补干细胞,医生讲解 / 平板展示 / 数据图表,28%,无,集中 / 放松,黄米色,#数据展示,,,,,,,
